Data Type - Total Exports by Commodity,Hts Num,Description,Year 1996,Year 1997,Year 1998,Year 1999,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018,Percent Change 2017 - 2018
FAS Value,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,176886298,252065004,298321465,342382023,488823465,454998200,553403339,474486727,507487227,403090362,681624283,578357286,519208559,442745144,444094932,398589960,370561222,376452737,335878166,271665727,220935595,183689705,160375360,-12.7
FAS Value,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES",26196636,24088240,30455188,15716169,18478600,12721022,14473357,19705993,89355333,27399653,39844912,22516453,40395193,41583618,26500411,52096601,61397466,30166724,57651051,62565690,113714756,130298300,148308009,13.8
FAS Value,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS",683074683,929428939,1109200110,934608340,1170195062,1133730940,1090573032,996392988,964456937,990815850,1018179828,922031379,1031220340,801957855,1096283882,1319008344,1605551895,1902502664,2338550443,2452310104,2409760406,2220999906,2144644714,-3.4
FAS Value,49,"PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRINTED PRODUCTS; MANUSCRIPTS, TYPESCRIPTS AND PLANS",235917565,214929920,254095431,288926040,345673644,333060805,280783773,310622417,294719751,428699337,399079272,399518373,378105429,358998622,417861496,407694213,425032024,418743139,404335662,411755761,432594713,407857784,412409529,1.1
FAS Value,09,"COFFEE, TEA, MATE AND SPICES",5666113,26488262,31116283,15935139,13106040,17871558,12495863,11557159,14387922,13064735,8720086,8562186,10820058,8700118,27356930,28854014,27644711,28900581,34012093,45622166,42226929,44113451,44538208,1.0
FAS Value,96,MISCELLANEOUS MANUFACTURED ARTICLES,133175704,225454079,240783542,269959552,256124617,182525531,222898705,220355742,217482572,220371949,243486764,232151916,226009786,184594750,220058293,235915688,269807688,309207744,337618523,345402165,366677145,399496297,428149921,7.2
FAS Value,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FEED,234033559,207387391,245348357,263821915,326803506,498745963,305989299,383758633,453735474,501398805,615313444,725319327,933487688,909668525,890156456,1095543251,1068443571,1083669737,1374504664,1370982985,1459010812,1436439869,1437073397,0.0
FAS Value,73,ARTICLES OF IRON OR STEEL,1730526927,1624718742,1791218427,1979249877,2624041283,1951979301,1749905905,1775027098,2064867390,2427116010,2860159693,2927651570,3098080499,2527115223,3082505014,3633753706,4589726783,4945036076,5477198815,5233881227,5030860451,5202117375,5511446790,5.9
FAS Value,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE",82866327,138301413,239457342,256278182,280738551,429621602,471505485,608255694,560327229,552681384,529876877,621041919,562734370,461994566,672022620,756043583,905032659,1007140565,1124965337,1166095332,1155059550,1166269896,1199700126,2.9
FAS Value,63,MADE-UP TEXTILE ARTICLES NESOI; NEEDLECRAFT SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,130655812,161221179,157959312,171294280,211629541,127358914,107174556,87888812,96298762,131488577,157686094,192027822,202519632,195564286,209029673,311103064,296351937,353195810,406742363,469048013,380131648,412114540,387554417,-6.0
FAS Value,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF",1479313143,2103575766,2278683827,2346317376,2996363647,3208473422,3437663673,3584585771,3883939536,3761815656,3805611550,3827197621,4490346310,4590512884,4406321342,4846777876,5435818355,5755982951,6370861000,6735856428,7051126283,6946929674,7541680427,8.6
FAS Value,30,PHARMACEUTICAL PRODUCTS,121175243,148629348,172228076,198228424,314030106,353542999,374569677,422010327,547008085,613345906,698273635,609797209,863997256,1146019733,1363238877,1345421423,1636726349,1470895116,1612929533,1587575857,1458199398,1314113048,1476407650,12.4
FAS Value,79,ZINC AND ARTICLES THEREOF,13758518,14804474,20964007,26723345,32131977,28644597,35616399,32635196,41271933,33676437,44018132,50814393,57265526,39683985,55657695,84433563,94087266,103431569,114869769,119670776,160685083,146197157,212878779,45.6
FAS Value,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED",705311068,989590297,1225130067,1324873351,1280554536,1184496947,1041124210,934714056,709937151,600632330,580020202,405639492,395486057,423730985,478575882,514726630,524784097,573658593,608867074,618724666,552779256,503976470,590168438,17.1
FAS Value,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,14210491,17819650,18762636,21929171,41885259,61889483,82849889,44330085,39456679,52211774,64681960,133846720,192393810,158798040,228595081,237555919,238020203,305637199,351302636,273571730,264477626,279053732,315009108,12.9
FAS Value,45,CORK AND ARTICLES OF CORK,2170504,1862442,1952657,3143368,4985719,2765890,3390428,2213017,2208626,5479718,4827747,2621204,3110217,2230299,2449386,2711567,3201405,3653124,4739355,4453681,4624097,4340205,4488607,3.4
FAS Value,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF",122421029,144397716,219090360,299623782,356425054,317559689,317398219,321485864,361158527,435829251,463000332,427670957,394723160,274609307,367934359,435534022,472976240,510138754,440703297,412661648,393026568,397964788,420314525,5.6
FAS Value,18,COCOA AND COCOA PREPARATIONS,47334030,43898934,59458161,83902497,160844842,263429105,87342311,102923784,104902624,108691580,121749460,150355315,219041357,193727428,203342378,242039338,268255937,316391921,297130722,266603725,281423185,264700501,249463892,-5.8
FAS Value,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",7415554616,10332829932,11213366153,12527399586,15573135568,14609844677,14860437002,15980701240,19015665443,20075904763,21298205826,20538893539,22534315168,20576510036,24741755450,31396708190,35994732272,38524944219,43271332334,42167580128,41806259115,42788077320,46241271895,8.1
